fn,cx,cy,cz
fn22,2.694751,-0.829956,5.277890
fn23,-1.632136,-1.309882,6.464195
fn24,1.071092,-1.072364,9.354605
fn25,-0.099467,0.071884,4.557872
fn26,3.804580,-1.194932,7.320401
fn27,0.938016,1.466325,5.181523
fn28,1.173885,1.851369,4.610101
fn29,-0.049060,1.022476,6.074673
fn30,-0.690334,0.677467,7.359945
fn31,0.392779,-0.465731,4.746065
fn32,5.643704,-4.055146,12.732712
fn33,-0.714975,0.565171,6.774450
fn34,-5.196737,0.223337,12.858038
fn35,-3.046452,-1.048137,10.832068
fn36,0.316634,-3.556056,7.466344
fn37,2.153242,-1.971267,4.218482
fn38,-1.420320,-0.742663,11.849223
fn39,-0.310082,-0.731016,9.063075
fn40,0.501203,-0.631338,17.461933
fn41,-2.216983,1.397946,14.175874
fn42,1.911529,-0.544411,3.857137
fn43,3.596051,-1.099073,6.899974
fn44,2.077002,-0.561636,4.015380
fn45,3.696348,-3.467342,9.344433
fn46,0.254559,-1.289478,6.023044
fn47,2.629642,1.500380,4.213077
fn48,-1.229715,-0.935846,5.682625
fn49,-1.011642,0.730340,3.220989
fn5,0.073378,1.123651,5.660824
fn50,0.419927,-0.516790,5.146902
fn51,-2.737080,-0.449611,9.843685
fn52,-1.117412,0.955850,32.122560
fn53,-2.072520,-0.050920,6.626010
fn54,2.433924,-0.297131,6.252016
fn55,1.297318,-0.199705,3.804914
fn56,-2.476110,-0.562719,5.808036
fn57,-1.364932,0.309053,6.447565
fn58,1.335638,-0.153314,5.713758
fn59,0.577134,-0.275370,3.203936
fn6,1.601469,-0.160862,1.404367
fn60,0.557444,0.809287,3.220778
fn61,0.215775,-0.432583,2.888516
fn62,1.533353,0.485726,3.599205
fn63,2.114952,-2.431625,5.411985
fn64,-0.061451,0.137973,1.045551
fn65,3.670610,0.114760,8.968794
fn66,2.499531,-0.052362,3.459874
fn67,0.059315,-1.553195,5.335522
fn68,-1.393793,-0.170529,5.036555
fn69,1.800613,-1.748676,6.076412
fn7,-0.117088,-0.603933,5.320412
fn70,4.056112,-1.258044,7.765573
fn71,-1.874446,0.331252,5.080113
fn72,1.407707,-0.001597,2.728793
fn73,0.431014,-0.782820,2.387749
fn74,0.547826,-0.133687,2.683730
fn75,3.652438,-2.022221,6.098143
fn76,-0.223662,0.114794,1.058259
fn77,-4.943601,-0.295711,10.359659
fn78,0.498340,-0.205008,2.754593
fn79,-0.310265,-1.618600,5.925607
fn8,1.991199,-0.008125,9.128317
fn80,0.413453,-0.475067,0.778056
fn81,-0.204993,0.058986,1.319750
fn82,0.306508,-0.421132,2.210906
fn83,-4.113085,-5.232152,20.852512
fn84,-2.203176,-1.171621,8.388500
fn85,-4.234273,-2.128016,7.938619
fn86,0.082038,-0.252996,2.914108
fn87,1.242292,0.372227,6.525958
fn88,-0.368430,0.107907,0.877700
fn89,-0.453328,-1.657427,4.064711
fn9,-3.665518,-0.097245,8.519193
fn90,-2.175325,0.027840,2.385114
fn91,0.456878,-0.272269,3.094664
fn92,-0.548642,0.041457,1.317281
fn93,-4.604221,-2.090018,8.182794
fn94,2.296930,-1.060623,5.265702
fn95,-3.928083,-1.606138,6.650715
fn96,-0.499076,0.094168,0.852391
fn97,0.386545,-0.143245,2.945503
fn98,-3.046618,-1.058115,10.993339
fn99,0.084565,-0.284447,3.087055
fn1,-0.272156,0.072778,2.308364
fn10,0.783819,-1.257391,3.785485
fn100,0.620053,0.210506,3.074676
fn101,0.440070,0.076648,3.573636
fn102,-0.440767,-0.042276,6.651225
fn103,0.786464,-0.302915,1.052685
fn104,0.747381,-1.169026,3.760670
fn105,-0.997435,-0.621813,2.423424
fn106,1.094199,-0.283444,1.585894
fn107,-1.225353,-0.580997,2.788725
fn108,-0.408850,0.310132,0.638543
fn109,0.309989,0.840844,2.467229
fn11,-2.568747,1.387188,10.093147
fn110,1.081560,0.735117,3.045045
fn111,-2.724177,0.601789,6.809747
fn112,0.284717,-0.049163,2.597735
fn113,1.168363,-0.313474,1.543014
fn114,0.735204,-1.210697,3.839700
fn115,0.648651,-0.294373,1.068502
fn116,0.303425,-0.351710,2.371511
fn117,-1.614488,0.014154,4.169545
fn118,0.708530,-0.286289,0.936098
fn119,0.089096,0.108095,3.221949
fn12,-2.405058,0.209933,5.161930
fn120,-0.322482,-1.007397,2.337422
fn121,-1.176196,-2.778360,5.436000
fn122,0.211893,0.082799,2.999696
fn123,1.282486,-0.310021,2.081862
